item_id,title,abstract,keywords,subject,relevant_majors
D001,Ngữ âm và Phát âm,"Hướng dẫn cách phát âm chuẩn theo hệ thống phiên âm quốc tế. Tài liệu thuộc lĩnh vực ngoại ngữ, phù hợp cho sinh viên và người nghiên cứu.","Ngữ, chuẩn, Ngoại, thống, ngữ",Ngữ âm và Phát âm,"Ngoại ngữ, Sư phạm Ngữ văn, Ngôn ngữ học"
D002,Hóa học Đại cương,"Giới thiệu cấu trúc nguyên tử, liên kết hóa học và phản ứng cơ bản. Tài liệu thuộc lĩnh vực khoa học tự nhiên, phù hợp cho sinh viên và người nghiên cứu.","ứng, bản., trúc, cấu, Hóa",Hóa học Đại cương,"Khoa học tự nhiên, Sư phạm Hóa học, Công nghệ Vật liệu, Môi trường"
D003,Giải tích Hàm một biến,"Trình bày các khái niệm giới hạn, đạo hàm và tích phân trong giải tích. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","hạn,, bày, Toán, giải, đạo",Giải tích Hàm một biến,"Toán học, Sư phạm Toán học, Công nghệ thông tin, Kỹ thuật"
D004,Pháp luật Quốc tế,"Phân tích quan hệ pháp lý giữa các quốc gia và tổ chức quốc tế. Tài liệu thuộc lĩnh vực luật, phù hợp cho sinh viên và người nghiên cứu.","Luật, quốc, Quốc, tổ, và",Pháp luật Quốc tế,"Luật, Quan hệ Quốc tế, Chính trị học"
D005,Phân tích Tài chính Doanh nghiệp,"Đánh giá hiệu quả tài chính qua báo cáo tài chính và chỉ số. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","quả, cáo, Đánh, tích, hiệu",Phân tích Tài chính Doanh nghiệp,"Tài chính Ngân hàng, Kế toán, Kiểm toán, Quản trị Kinh doanh, Kinh tế"
D006,Phong cách học và Tu từ học,"Khám phá nghệ thuật sử dụng ngôn ngữ trong văn chương và đời sống. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","đời, Ngữ, văn, cách, phá",Phong cách học và Tu từ học,"Sư phạm Ngữ văn, Ngôn ngữ học, Văn học"
D007,Ngôn ngữ học Đại cương,"Giới thiệu ngôn ngữ học, các cấp độ phân tích và chức năng ngôn ngữ. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","Ngôn, năng, văn, cương, Sư",Ngôn ngữ học Đại cương,"Ngôn ngữ học, Sư phạm Ngữ văn, Ngoại ngữ"
D008,Ngữ pháp Tiếng Nhật Sơ cấp,"Giới thiệu cấu trúc ngữ pháp nền tảng trong tiếng Nhật. Tài liệu thuộc lĩnh vực ngoại ngữ, phù hợp cho sinh viên và người nghiên cứu.","cấp, trong, cấu, Ngoại, thiệu",Ngữ pháp Tiếng Nhật,"Ngoại ngữ, Tiếng Nhật"
D009,Nguyên lý Kế toán,"Trang bị kiến thức kế toán cơ bản cho sinh viên ngành kinh tế. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","toán, Trang, viên, cho, lý",Nguyên lý Kế toán,"Kế toán, Kiểm toán, Tài chính Ngân hàng, Quản trị Kinh doanh, Kinh tế"
D010,Phân tích Văn học Việt Nam,"Nghiên cứu các tác phẩm tiêu biểu trong văn học hiện đại và trung đại. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","trung, Nam, đại, đại., phẩm",Phân tích Văn học Việt Nam,"Văn học, Sư phạm Ngữ văn"
